date,% CP có giá trên SMA200,% CP có giá dưới SMA200,index
2023-03-08,0.23295454545454544,0.7670454545454546,1049.18
2023-03-09,0.2233502538071066,0.7766497461928934,1055.95
2023-03-10,0.22950819672131148,0.7704918032786885,1053.0
2023-03-13,0.22950819672131148,0.7704918032786885,1052.8
2023-03-14,0.1875,0.8125,1040.13
2023-03-15,0.23036649214659685,0.7696335078534031,1062.19
2023-03-16,0.24277456647398843,0.7572254335260116,1047.4
2023-03-17,0.2441860465116279,0.7558139534883721,1045.14
2023-03-20,0.19101123595505617,0.8089887640449438,1023.1
2023-03-21,0.2235294117647059,0.7764705882352941,1032.43
2023-03-22,0.24324324324324326,0.7567567567567568,1040.54
2023-03-23,0.2517985611510791,0.7482014388489209,1045.1
2023-03-24,0.25,0.75,1046.79
2023-03-27,0.24203821656050956,0.7579617834394905,1052.25
2023-03-28,0.25149700598802394,0.7485029940119761,1054.29
2023-03-29,0.2597402597402597,0.7402597402597403,1056.33
2023-03-30,0.2625,0.7375,1059.44
2023-03-31,0.2903225806451613,0.7096774193548387,1064.64
2023-04-03,0.2937853107344633,0.7062146892655368,1079.28
2023-04-04,0.2983425414364641,0.7016574585635359,1078.45
2023-04-05,0.31351351351351353,0.6864864864864865,1080.86
2023-04-06,0.27586206896551724,0.7241379310344828,1070.91
2023-04-10,0.27692307692307694,0.7230769230769231,1065.35
2023-04-11,0.30687830687830686,0.6931216931216931,1069.46
2023-04-12,0.3065326633165829,0.6934673366834171,1069.45
2023-04-13,0.3105263157894737,0.6894736842105262,1064.3
2023-04-14,0.27807486631016043,0.7219251336898396,1052.89
2023-04-17,0.30057803468208094,0.699421965317919,1053.81
2023-04-18,0.30113636363636365,0.6988636363636364,1055.02
2023-04-19,0.2810810810810811,0.7189189189189189,1048.98
2023-04-20,0.3277777777777778,0.6722222222222223,1049.25
2023-04-21,0.3,0.7,1042.91
2023-04-24,0.30978260869565216,0.6902173913043479,1041.36
2023-04-25,0.3005464480874317,0.6994535519125683,1034.85
2023-04-26,0.30434782608695654,0.6956521739130435,1040.8
2023-04-27,0.33695652173913043,0.6630434782608696,1039.63
2023-04-28,0.32989690721649484,0.6701030927835052,1049.12
2023-05-04,0.34536082474226804,0.654639175257732,1040.61
2023-05-05,0.3520408163265306,0.6479591836734694,1040.31
2023-05-08,0.3694581280788177,0.6305418719211823,1052.62
2023-05-09,0.375,0.625,1053.77
2023-05-10,0.3598130841121495,0.6401869158878505,1058.26
2023-05-11,0.3755868544600939,0.6244131455399061,1057.12
2023-05-12,0.4236453201970443,0.5763546798029557,1066.9
2023-05-15,0.413953488372093,0.586046511627907,1065.71
2023-05-16,0.4207920792079208,0.5792079207920793,1065.91
2023-05-17,0.4117647058823529,0.5882352941176471,1060.44
2023-05-18,0.44387755102040816,0.5561224489795918,1068.31
2023-05-19,0.45,0.55,1067.07
2023-05-22,0.4444444444444444,0.5555555555555556,1070.64
2023-05-23,0.4517766497461929,0.5482233502538071,1065.85
2023-05-24,0.45454545454545453,0.5454545454545454,1061.79
2023-05-25,0.4975124378109453,0.5024875621890548,1064.63
2023-05-26,0.5024390243902439,0.4975609756097561,1063.76
2023-05-29,0.5132743362831859,0.48672566371681414,1074.98
2023-05-30,0.5201793721973094,0.47982062780269064,1078.05
2023-05-31,0.5327510917030568,0.4672489082969432,1075.17
2023-06-01,0.5506607929515418,0.4493392070484582,1078.39
2023-06-02,0.5646551724137931,0.43534482758620685,1090.84
2023-06-05,0.5826086956521739,0.4173913043478261,1097.82
2023-06-06,0.6090909090909091,0.3909090909090909,1108.31
2023-06-07,0.6017316017316018,0.3982683982683982,1109.54
2023-06-08,0.5805084745762712,0.4194915254237288,1101.32
2023-06-09,0.5938864628820961,0.4061135371179039,1107.53
